Student_ID,cap_Programming,cap_Algorithms,cap_Math,cap_Theory,cap_Data,cap_Systems,cap_Hardware,cap_AI,cap_UX,cap_Security,cap_Graphics,cap_Biology,Track_1,Track_2,Track_3
21,0.1312,0.1431,0.1146,0.0215,0.0007,0.1226,0.026,0.1582,0.1541,0.0892,0.0162,0.0226,Artificial Intelligence,Systems,Human-Computer Interaction
22,0.1303,0.0261,0.0127,0.0557,0.1882,0.0815,0.0577,0.007,0.0653,0.3154,0.0103,0.05,Information Track,Computer Engineering,Systems
23,0.1325,0.0852,0.0754,0.0765,0.0281,0.0219,0.1046,0.1049,0.1274,0.1543,0.0452,0.0439,Human-Computer Interaction,Computer Engineering,Artificial Intelligence
24,0.1462,0.0959,0.1106,0.1451,0.2016,0.0377,0.043,0.009,0.0789,0.0033,0.0572,0.0715,Information Track,Theory,Human-Computer Interaction
25,0.0474,0.1254,0.0043,0.0053,0.2426,0.0627,0.0191,0.1036,0.2062,0.0341,0.1368,0.0125,Human-Computer Interaction,Information Track,Artificial Intelligence
26,0.0047,0.0671,0.0688,0.0898,0.1146,0.3295,0.0643,0.0345,0.1403,0.028,0.0512,0.0072,Systems,Computer Engineering,Human-Computer Interaction
27,0.0023,0.3004,0.1652,0.1088,0.048,0.0174,0.0155,0.0263,0.0728,0.1146,0.0986,0.03,Theory,Artificial Intelligence,Visual Computing
28,0.3403,0.1471,0.0888,0.1039,0.0598,0.0313,0.0483,0.1558,0.0016,0.0136,0.0052,0.0046,Artificial Intelligence,Information Track,Systems
29,0.2277,0.1432,0.0757,0.0121,0.0797,0.0755,0.0224,0.067,0.0599,0.1127,0.1187,0.0055,Information Track,Visual Computing,Systems
30,0.0426,0.0891,0.0634,0.176,0.0975,0.0161,0.0066,0.0932,0.0024,0.0799,0.2554,0.0777,Visual Computing,Theory,Computational Biology
31,0.04,0.084,0.05,0.0643,0.2313,0.0398,0.2648,0.1921,0.0178,0.0059,0.0087,0.0015,Artificial Intelligence,Computer Engineering,Information Track
32,0.0099,0.1147,0.0074,0.0383,0.186,0.0024,0.1681,0.033,0.0126,0.1191,0.099,0.2096,Computational Biology,Information Track,Computer Engineering
33,0.0793,0.0971,0.0198,0.0117,0.0829,0.0981,0.278,0.0318,0.0278,0.0894,0.0249,0.1594,Computer Engineering,Systems,Computational Biology
34,0.1464,0.042,0.1041,0.1052,0.0082,0.1744,0.0527,0.1312,0.0289,0.1692,0.0369,0.0008,Systems,Computer Engineering,Theory
35,0.1621,0.0066,0.0264,0.206,0.2068,0.0586,0.0687,0.0409,0.0239,0.0274,0.0767,0.096,Information Track,Human-Computer Interaction,Computational Biology
36,0.1621,0.1611,0.0099,0.0705,0.0061,0.0824,0.0602,0.226,0.0447,0.0129,0.0159,0.1482,Artificial Intelligence,Computational Biology,Systems
37,0.0891,0.0099,0.0081,0.1117,0.007,0.1596,0.1133,0.0078,0.0082,0.3992,0.0434,0.0428,Computer Engineering,Systems,Information Track
38,0.0993,0.1743,0.2529,0.0829,0.028,0.0052,0.0889,0.0484,0.0327,0.1403,0.007,0.0402,Theory,Artificial Intelligence,Information Track
39,0.0011,0.0611,0.0056,0.0122,0.0121,0.1011,0.1323,0.0845,0.3162,0.0454,0.0325,0.1959,Human-Computer Interaction,Computer Engineering,Computational Biology
40,0.0126,0.1639,0.0006,0.1738,0.0022,0.1101,0.0372,0.246,0.0038,0.0401,0.1729,0.0368,Artificial Intelligence,Visual Computing,Theory
41,0.0702,0.0842,0.0429,0.0699,0.0621,0.1637,0.0033,0.0233,0.2125,0.1563,0.043,0.0685,Human-Computer Interaction,Systems,Information Track
42,0.0224,0.0144,0.0429,0.03,0.0604,0.0056,0.2525,0.2951,0.0825,0.0529,0.0255,0.1158,Artificial Intelligence,Computational Biology,Computer Engineering
43,0.072,0.0111,0.1508,0.1078,0.1865,0.0807,0.0593,0.0338,0.1683,0.1253,0.0029,0.0017,Information Track,Human-Computer Interaction,Theory
44,0.0283,0.0996,0.2613,0.0098,0.054,0.0287,0.2098,0.1105,0.1091,0.0379,0.0321,0.0191,Theory,Artificial Intelligence,Visual Computing
45,0.0023,0.0779,0.0652,0.3181,0.2217,0.0316,0.057,0.1127,0.0738,0.0111,0.0233,0.0054,Theory,Information Track,Artificial Intelligence
46,0.239,0.0723,0.0201,0.0864,0.0747,0.0344,0.0094,0.0864,0.057,0.1148,0.057,0.1484,Information Track,Human-Computer Interaction,Systems
47,0.0955,0.098,0.2491,0.0615,0.0171,0.0035,0.1675,0.1153,0.1449,0.0285,0.0174,0.0017,Theory,Artificial Intelligence,Visual Computing
48,0.0311,0.0643,0.0359,0.0415,0.1691,0.0309,0.052,0.1104,0.0364,0.0702,0.143,0.2153,Computational Biology,Visual Computing,Information Track
49,0.0147,0.2408,0.0625,0.0275,0.0567,0.3608,0.0625,0.0367,0.0925,0.0253,0.0073,0.0127,Systems,Computer Engineering,Theory
50,0.0209,0.0251,0.0228,0.1561,0.0306,0.0647,0.3462,0.0979,0.1679,0.0288,0.0326,0.0064,Computer Engineering,Systems,Human-Computer Interaction
51,0.0322,0.0568,0.0339,0.0162,0.0224,0.1074,0.0402,0.0788,0.1218,0.204,0.007,0.2795,Computational Biology,Computer Engineering,Systems
52,0.0928,0.008,0.1942,0.2382,0.0059,0.0304,0.1541,0.1295,0.0192,0.0221,0.0435,0.0622,Theory,Visual Computing,Artificial Intelligence
53,0.102,0.0488,0.0658,0.1458,0.004,0.0308,0.1324,0.239,0.076,0.0805,0.012,0.0629,Artificial Intelligence,Theory,Computer Engineering
54,0.105,0.0383,0.0433,0.0654,0.0028,0.0536,0.0328,0.0548,0.0176,0.3053,0.1243,0.1569,Computer Engineering,Visual Computing,Systems
55,0.1783,0.079,0.0104,0.0882,0.1012,0.1567,0.0647,0.0156,0.0382,0.0517,0.1189,0.0969,Systems,Computer Engineering,Human-Computer Interaction
56,0.0455,0.4448,0.0961,0.028,0.0111,0.0171,0.0292,0.0181,0.0213,0.0347,0.0197,0.2345,Theory,Artificial Intelligence,Computational Biology
57,0.0056,0.0502,0.0357,0.2728,0.008,0.0343,0.2357,0.1355,0.1147,0.0201,0.0127,0.0746,Theory,Computer Engineering,Human-Computer Interaction
58,0.2846,0.0874,0.091,0.0353,0.1576,0.0222,0.042,0.0595,0.0761,0.0298,0.0131,0.1013,Information Track,Human-Computer Interaction,Artificial Intelligence
59,0.0337,0.086,0.0166,0.0648,0.0752,0.0053,0.0406,0.0143,0.0065,0.4547,0.0385,0.1641,Computer Engineering,Information Track,Computational Biology
60,0.0201,0.0784,0.0978,0.062,0.0437,0.0364,0.0294,0.1817,0.1217,0.2297,0.0091,0.0899,Artificial Intelligence,Computational Biology,Theory
61,0.2508,0.018,0.0062,0.1216,0.0769,0.166,0.0136,0.1428,0.0203,0.0161,0.0162,0.1517,Systems,Computational Biology,Information Track
62,0.1025,0.0693,0.0416,0.1964,0.0467,0.1589,0.0542,0.0443,0.0582,0.0336,0.1289,0.0654,Systems,Theory,Computer Engineering
63,0.02,0.1736,0.0366,0.0592,0.179,0.0739,0.0094,0.2123,0.0746,0.0308,0.0113,0.1193,Artificial Intelligence,Computational Biology,Information Track
64,0.0798,0.0629,0.1851,0.1282,0.0136,0.0308,0.0236,0.1124,0.0028,0.0696,0.1186,0.1727,Theory,Visual Computing,Computational Biology
65,0.0404,0.166,0.0113,0.1807,0.0131,0.0488,0.1539,0.0157,0.0251,0.1235,0.1227,0.0988,Theory,Computer Engineering,Systems
66,0.105,0.0694,0.0257,0.0376,0.0178,0.2121,0.0777,0.0454,0.055,0.2611,0.0148,0.0783,Computer Engineering,Systems,Information Track
67,0.0497,0.0666,0.0013,0.145,0.1896,0.0587,0.0841,0.1803,0.0866,0.0117,0.0605,0.0658,Artificial Intelligence,Computational Biology,Information Track
68,0.0285,0.0688,0.1405,0.134,0.0309,0.0062,0.2161,0.0942,0.0069,0.1309,0.1052,0.0377,Theory,Computer Engineering,Visual Computing
69,0.1046,0.0595,0.0066,0.0477,0.1898,0.0005,0.0474,0.0593,0.0901,0.295,0.0497,0.0498,Information Track,Human-Computer Interaction,Computer Engineering
70,0.1461,0.0657,0.0278,0.0658,0.0166,0.0212,0.0753,0.0593,0.269,0.0491,0.0949,0.1092,Human-Computer Interaction,Information Track,Visual Computing
71,0.0009,0.0769,0.0138,0.2293,0.0114,0.0378,0.0063,0.4075,0.0493,0.0639,0.0049,0.0979,Artificial Intelligence,Computational Biology,Theory
72,0.0296,0.2869,0.0288,0.0266,0.0047,0.0803,0.1046,0.0085,0.1877,0.0759,0.0934,0.073,Human-Computer Interaction,Systems,Computer Engineering
73,0.056,0.0897,0.0185,0.022,0.2166,0.3196,0.0511,0.0345,0.113,0.0575,0.0028,0.0186,Systems,Computer Engineering,Information Track
74,0.1735,0.1483,0.0038,0.0346,0.0362,0.1536,0.0027,0.0152,0.2218,0.0271,0.1458,0.0375,Human-Computer Interaction,Systems,Visual Computing
75,0.0106,0.0281,0.129,0.195,0.1786,0.051,0.1111,0.0231,0.0349,0.2283,0.0013,0.009,Theory,Information Track,Computer Engineering
76,0.0284,0.0033,0.0244,0.1065,0.0666,0.2717,0.207,0.0509,0.0366,0.0581,0.1086,0.038,Computer Engineering,Systems,Visual Computing
77,0.0682,0.0367,0.056,0.0399,0.0243,0.2067,0.1006,0.0105,0.1414,0.0466,0.1568,0.1122,Computer Engineering,Systems,Human-Computer Interaction
78,0.0536,0.0022,0.0303,0.0755,0.0971,0.0289,0.0145,0.1743,0.4026,0.0722,0.0182,0.0308,Human-Computer Interaction,Information Track,Artificial Intelligence
79,0.0018,0.2431,0.0124,0.085,0.0317,0.0799,0.1043,0.1752,0.0229,0.0011,0.0146,0.2279,Computational Biology,Artificial Intelligence,Theory
80,0.1888,0.0829,0.0836,0.0997,0.0176,0.2241,0.0495,0.044,0.0667,0.0044,0.0166,0.1221,Systems,Computer Engineering,Theory
81,0.0091,0.0971,0.0296,0.0518,0.0358,0.0462,0.1333,0.037,0.0878,0.0679,0.1144,0.2901,Computational Biology,Computer Engineering,Visual Computing
82,0.2023,0.0371,0.0049,0.0467,0.1387,0.0081,0.1052,0.1393,0.0624,0.226,0.0173,0.012,Information Track,Computer Engineering,Human-Computer Interaction
83,0.1269,0.0667,0.1136,0.0556,0.0276,0.1666,0.1565,0.1156,0.031,0.0869,0.0436,0.0094,Computer Engineering,Systems,Artificial Intelligence
84,0.1521,0.009,0.1831,0.036,0.0125,0.0476,0.1259,0.0804,0.1003,0.0656,0.0719,0.1155,Visual Computing,Computer Engineering,Theory
85,0.0181,0.0423,0.0157,0.2766,0.1815,0.0025,0.077,0.1632,0.0125,0.0528,0.1555,0.0022,Theory,Visual Computing,Artificial Intelligence
86,0.0659,0.0195,0.1424,0.1953,0.1592,0.0354,0.1092,0.1026,0.0212,0.0973,0.0021,0.05,Theory,Information Track,Computational Biology
87,0.0348,0.0171,0.0106,0.1585,0.0552,0.1716,0.009,0.0504,0.1031,0.208,0.051,0.1307,Systems,Computer Engineering,Human-Computer Interaction
88,0.1124,0.0495,0.0137,0.0013,0.1056,0.0011,0.1075,0.039,0.1448,0.083,0.3199,0.0223,Visual Computing,Human-Computer Interaction,Information Track
89,0.1034,0.0365,0.0464,0.07,0.1467,0.2936,0.1037,0.0384,0.0388,0.0949,0.0193,0.0083,Systems,Computer Engineering,Information Track
90,0.0388,0.03,0.0312,0.0236,0.0038,0.0016,0.3901,0.0495,0.043,0.1009,0.0218,0.2656,Computer Engineering,Computational Biology,Systems
91,0.0865,0.0052,0.0303,0.1184,0.1622,0.0353,0.0532,0.0102,0.2649,0.0148,0.1602,0.0588,Human-Computer Interaction,Information Track,Visual Computing
92,0.073,0.056,0.0204,0.0151,0.0194,0.0161,0.1179,0.0336,0.0046,0.2711,0.1678,0.2049,Computer Engineering,Visual Computing,Computational Biology
93,0.3914,0.0142,0.0374,0.1053,0.0883,0.0124,0.1254,0.0188,0.0188,0.0571,0.0666,0.0643,Information Track,Human-Computer Interaction,Systems
94,0.0068,0.1491,0.0219,0.0099,0.156,0.2214,0.1408,0.1178,0.0757,0.0569,0.0065,0.0373,Computer Engineering,Systems,Artificial Intelligence
95,0.0552,0.0356,0.1523,0.0811,0.01,0.0295,0.1362,0.0094,0.2257,0.081,0.0776,0.1063,Human-Computer Interaction,Theory,Computer Engineering
96,0.1075,0.0264,0.07,0.0515,0.0192,0.1302,0.0986,0.0663,0.1174,0.1247,0.0761,0.112,Computer Engineering,Systems,Human-Computer Interaction
97,0.0939,0.0895,0.0757,0.1097,0.0136,0.1671,0.1613,0.0023,0.1372,0.0108,0.032,0.1068,Computer Engineering,Systems,Human-Computer Interaction
98,0.0138,0.1338,0.1402,0.0556,0.0005,0.0266,0.0754,0.3121,0.0785,0.0236,0.079,0.061,Artificial Intelligence,Visual Computing,Computational Biology
99,0.0986,0.0074,0.0932,0.0508,0.2147,0.0272,0.0652,0.1751,0.007,0.1803,0.0758,0.0046,Information Track,Artificial Intelligence,Computational Biology
100,0.0244,0.0841,0.0048,0.0596,0.029,0.0662,0.0032,0.1401,0.2478,0.2369,0.0945,0.0095,Human-Computer Interaction,Artificial Intelligence,Visual Computing
101,0.1087,0.0019,0.0017,0.0299,0.0513,0.1126,0.088,0.0452,0.0245,0.4478,0.0425,0.0459,Computer Engineering,Systems,Information Track
102,0.0144,0.1275,0.0952,0.0201,0.0069,0.0918,0.0856,0.0257,0.2426,0.0132,0.0456,0.2315,Human-Computer Interaction,Computational Biology,Theory
103,0.048,0.0897,0.0447,0.0283,0.3645,0.0464,0.198,0.023,0.0211,0.0028,0.093,0.0405,Information Track,Computational Biology,Computer Engineering
104,0.1269,0.0407,0.219,0.013,0.1289,0.0952,0.0936,0.1183,0.0909,0.0625,0.0089,0.0021,Information Track,Artificial Intelligence,Theory
105,0.2653,0.1003,0.1665,0.0687,0.0131,0.014,0.121,0.0588,0.0234,0.0708,0.0069,0.0912,Theory,Systems,Information Track
106,0.0367,0.1869,0.0435,0.0711,0.0014,0.0088,0.0583,0.0765,0.1072,0.0404,0.139,0.2302,Computational Biology,Visual Computing,Theory
107,0.1406,0.0038,0.0608,0.0103,0.0257,0.4011,0.0143,0.0642,0.0894,0.1126,0.0762,0.0009,Systems,Computer Engineering,Human-Computer Interaction
108,0.0632,0.1166,0.0147,0.069,0.0054,0.0131,0.0808,0.0228,0.134,0.187,0.2578,0.0357,Visual Computing,Human-Computer Interaction,Computer Engineering
109,0.0149,0.009,0.0823,0.0997,0.0026,0.2237,0.0043,0.0634,0.1004,0.1665,0.1018,0.1315,Systems,Computer Engineering,Visual Computing
110,0.0385,0.1565,0.0078,0.209,0.0736,0.1578,0.0559,0.0958,0.0694,0.1221,0.0079,0.0058,Theory,Systems,Computer Engineering
111,0.0227,0.0139,0.1643,0.0198,0.2979,0.0329,0.0161,0.1247,0.086,0.0552,0.0648,0.1016,Computational Biology,Information Track,Artificial Intelligence
112,0.0159,0.3438,0.2256,0.0644,0.0136,0.0699,0.0046,0.0019,0.0183,0.0381,0.1243,0.0796,Theory,Artificial Intelligence,Visual Computing
113,0.0922,0.0377,0.0288,0.0315,0.2985,0.0028,0.1371,0.0587,0.0392,0.0878,0.0453,0.1404,Information Track,Computational Biology,Human-Computer Interaction
114,0.1669,0.0396,0.0234,0.0648,0.1759,0.0171,0.0705,0.0721,0.0954,0.0102,0.0909,0.1732,Information Track,Computational Biology,Human-Computer Interaction
115,0.0168,0.023,0.3008,0.0169,0.1631,0.0574,0.024,0.1732,0.0499,0.0612,0.0377,0.0761,Computational Biology,Artificial Intelligence,Theory
116,0.0149,0.0413,0.2906,0.0249,0.0891,0.0328,0.1238,0.0117,0.2917,0.0504,0.0224,0.0064,Theory,Human-Computer Interaction,Information Track
117,0.0236,0.0932,0.0522,0.2243,0.0716,0.0363,0.122,0.1559,0.0232,0.0233,0.0047,0.1694,Theory,Computational Biology,Artificial Intelligence
118,0.0881,0.052,0.1502,0.1324,0.0711,0.1638,0.0186,0.0096,0.0254,0.0047,0.0612,0.2229,Computational Biology,Theory,Systems
119,0.0026,0.0084,0.0389,0.1754,0.0245,0.0457,0.0027,0.0104,0.2786,0.2167,0.0003,0.1958,Human-Computer Interaction,Computational Biology,Theory
120,0.1101,0.2186,0.0655,0.0783,0.0725,0.1187,0.0162,0.0033,0.0398,0.1317,0.0244,0.1209,Systems,Theory,Information Track
121,0.216,0.0061,0.0688,0.0362,0.1249,0.012,0.0727,0.1123,0.1784,0.0709,0.0424,0.0593,Human-Computer Interaction,Information Track,Artificial Intelligence
122,0.1702,0.0708,0.0026,0.2239,0.098,0.0945,0.0204,0.0901,0.0419,0.0882,0.0094,0.0898,Human-Computer Interaction,Systems,Information Track
123,0.3435,0.0023,0.1745,0.0241,0.0944,0.0704,0.0386,0.0619,0.0973,0.0239,0.0183,0.0508,Information Track,Human-Computer Interaction,Systems
124,0.1583,0.1379,0.1534,0.0549,0.1634,0.0123,0.0754,0.0006,0.0377,0.0438,0.0484,0.1141,Information Track,Theory,Computational Biology
125,0.0597,0.0722,0.0329,0.0567,0.0313,0.0092,0.1122,0.1338,0.1172,0.0755,0.0579,0.2414,Computational Biology,Artificial Intelligence,Human-Computer Interaction
126,0.0749,0.0668,0.0027,0.0427,0.0489,0.0521,0.0888,0.078,0.0958,0.1481,0.1716,0.1296,Visual Computing,Human-Computer Interaction,Computer Engineering
127,0.2412,0.0014,0.0169,0.0006,0.0808,0.1769,0.0216,0.2028,0.0048,0.2111,0.0336,0.0083,Systems,Computer Engineering,Information Track
128,0.0873,0.0389,0.044,0.0482,0.2132,0.1017,0.0489,0.1237,0.1653,0.0418,0.07,0.0171,Information Track,Human-Computer Interaction,Artificial Intelligence
129,0.0179,0.1024,0.0179,0.0667,0.1106,0.0101,0.075,0.0266,0.2951,0.0592,0.1469,0.0716,Human-Computer Interaction,Information Track,Visual Computing
130,0.003,0.067,0.2021,0.0615,0.1143,0.1441,0.0173,0.0159,0.0631,0.0354,0.1224,0.1539,Computational Biology,Theory,Visual Computing
131,0.0503,0.0312,0.1749,0.037,0.1994,0.0636,0.127,0.0116,0.1127,0.0693,0.1019,0.0212,Information Track,Human-Computer Interaction,Theory
132,0.1519,0.2259,0.0278,0.0114,0.0027,0.1168,0.1063,0.09,0.03,0.0564,0.1027,0.0781,Systems,Computer Engineering,Artificial Intelligence
133,0.2686,0.0089,0.0724,0.0316,0.0341,0.0771,0.0719,0.289,0.0084,0.0067,0.0786,0.0527,Artificial Intelligence,Visual Computing,Systems
134,0.0491,0.0127,0.0137,0.3443,0.0327,0.0599,0.0394,0.0672,0.011,0.1122,0.0107,0.247,Theory,Computational Biology,Computer Engineering
135,0.0175,0.051,0.1392,0.0691,0.05,0.0257,0.0266,0.0727,0.3374,0.0712,0.0536,0.0861,Human-Computer Interaction,Theory,Information Track
136,0.0654,0.0065,0.0863,0.3303,0.0201,0.1224,0.0234,0.0802,0.0106,0.0625,0.1475,0.0446,Theory,Visual Computing,Human-Computer Interaction
137,0.0605,0.0877,0.1449,0.0148,0.0282,0.0091,0.2704,0.1447,0.0429,0.102,0.0407,0.054,Computer Engineering,Artificial Intelligence,Systems
138,0.0092,0.1387,0.0135,0.1723,0.1501,0.1215,0.0036,0.0356,0.0301,0.044,0.009,0.2723,Computational Biology,Theory,Information Track
139,0.0481,0.0217,0.0302,0.0353,0.0547,0.0432,0.1501,0.041,0.289,0.1137,0.0139,0.159,Human-Computer Interaction,Computer Engineering,Computational Biology
140,0.0103,0.142,0.04,0.1757,0.1691,0.1369,0.1303,0.0303,0.007,0.0431,0.0159,0.0992,Theory,Computer Engineering,Systems
141,0.0274,0.2394,0.066,0.1114,0.0092,0.1277,0.1651,0.043,0.0601,0.0933,0.0124,0.045,Computer Engineering,Systems,Theory
142,0.0485,0.0151,0.0437,0.0067,0.0025,0.0138,0.3147,0.076,0.322,0.054,0.0356,0.0673,Human-Computer Interaction,Computer Engineering,Systems
143,0.0496,0.0096,0.0878,0.0209,0.0828,0.09,0.0141,0.0054,0.1301,0.0528,0.0051,0.4518,Computational Biology,Human-Computer Interaction,Information Track
144,0.0042,0.0845,0.2928,0.0195,0.0109,0.0092,0.0257,0.0076,0.0838,0.0046,0.0507,0.4065,Computational Biology,Theory,Visual Computing
145,0.1788,0.1015,0.0389,0.1039,0.0796,0.059,0.0149,0.2314,0.0635,0.023,0.0487,0.0568,Artificial Intelligence,Visual Computing,Human-Computer Interaction
146,0.203,0.1528,0.1694,0.0013,0.0622,0.0758,0.0022,0.0348,0.165,0.017,0.0885,0.028,Human-Computer Interaction,Information Track,Visual Computing
147,0.0009,0.0202,0.2727,0.1184,0.2349,0.049,0.0085,0.0581,0.0444,0.1362,0.0076,0.0491,Theory,Information Track,Computational Biology
148,0.0126,0.0304,0.1034,0.05,0.0365,0.0388,0.0476,0.1189,0.1723,0.2405,0.1196,0.0293,Visual Computing,Human-Computer Interaction,Artificial Intelligence
149,0.0885,0.0437,0.0223,0.1397,0.003,0.1763,0.047,0.077,0.0818,0.1713,0.0769,0.0723,Systems,Computer Engineering,Human-Computer Interaction
150,0.0121,0.128,0.0285,0.2342,0.1257,0.1997,0.0075,0.0155,0.2207,0.0131,0.0129,0.0021,Human-Computer Interaction,Theory,Systems
151,0.2777,0.1185,0.0386,0.0312,0.0381,0.132,0.0959,0.0181,0.0169,0.0092,0.0956,0.1281,Systems,Computer Engineering,Human-Computer Interaction
152,0.031,0.0021,0.0086,0.346,0.0353,0.1476,0.0986,0.0484,0.0232,0.013,0.0961,0.15,Theory,Computer Engineering,Systems
153,0.0605,0.0443,0.0025,0.2027,0.094,0.0203,0.2292,0.054,0.0512,0.0808,0.0979,0.0626,Computer Engineering,Theory,Systems
154,0.0144,0.0435,0.2775,0.0268,0.0491,0.0596,0.061,0.1001,0.3021,0.029,0.0137,0.0232,Theory,Human-Computer Interaction,Artificial Intelligence
155,0.1277,0.0608,0.0197,0.0991,0.1157,0.1098,0.1472,0.017,0.0824,0.0362,0.1081,0.0764,Computer Engineering,Systems,Human-Computer Interaction
156,0.1062,0.0757,0.0139,0.0559,0.2963,0.1965,0.0031,0.0128,0.01,0.0918,0.1207,0.017,Information Track,Systems,Human-Computer Interaction
157,0.0538,0.1401,0.1007,0.0596,0.0681,0.0542,0.0269,0.0635,0.0891,0.1576,0.0772,0.1092,Theory,Computational Biology,Artificial Intelligence
158,0.0148,0.0526,0.0008,0.0241,0.1101,0.4081,0.0089,0.0436,0.1367,0.0194,0.0688,0.1122,Systems,Computer Engineering,Human-Computer Interaction
159,0.0899,0.0196,0.0413,0.1439,0.0759,0.0005,0.1345,0.0034,0.1287,0.0213,0.298,0.0431,Visual Computing,Human-Computer Interaction,Information Track
160,0.0263,0.0107,0.0242,0.139,0.3724,0.0305,0.0395,0.085,0.1443,0.0597,0.033,0.0353,Information Track,Human-Computer Interaction,Computational Biology
161,0.1382,0.0004,0.1123,0.051,0.1837,0.0113,0.1031,0.0762,0.1195,0.0078,0.1008,0.0958,Information Track,Human-Computer Interaction,Computational Biology
162,0.0778,0.0875,0.1067,0.1546,0.0297,0.1649,0.0652,0.0076,0.0057,0.0385,0.1454,0.1163,Theory,Systems,Visual Computing
163,0.0991,0.0464,0.037,0.0102,0.0254,0.0363,0.0059,0.0159,0.0581,0.0848,0.4084,0.1725,Visual Computing,Human-Computer Interaction,Computational Biology
164,0.1085,0.0577,0.1066,0.1624,0.0133,0.0556,0.1931,0.0511,0.0894,0.0934,0.0215,0.0474,Computer Engineering,Theory,Systems
165,0.0362,0.0024,0.0022,0.1586,0.0284,0.065,0.0316,0.2514,0.0267,0.05,0.1835,0.1642,Visual Computing,Computational Biology,Artificial Intelligence
166,0.0233,0.184,0.0695,0.0748,0.0162,0.0095,0.1476,0.0778,0.0651,0.1482,0.1644,0.0196,Visual Computing,Theory,Computer Engineering
167,0.0907,0.014,0.134,0.103,0.302,0.0069,0.0057,0.0319,0.0292,0.0273,0.2278,0.0276,Information Track,Visual Computing,Computational Biology
168,0.0374,0.1679,0.0704,0.1768,0.008,0.0788,0.004,0.0076,0.2793,0.0177,0.0896,0.0624,Human-Computer Interaction,Theory,Visual Computing
169,0.0252,0.136,0.0013,0.0644,0.1955,0.0485,0.1632,0.0032,0.0321,0.0178,0.0776,0.2352,Computational Biology,Information Track,Computer Engineering
